Steam No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Mass flow (ton/h),581,692,557,716,716,716,716,57,0.4,0.4,0,659,659,2,34,695
Temperature (oC),40,40,63.7,50.4,49.2,113.1,112.9,18,18,120.3,N/A,125.8,54.5,30,30,53.3
Pressure (bara),1,2,1,1,2.9,2.9,2.9,2,2,2,N/A,2,2,2,2,2
Vapor fraction,1,0,1,0,0,0.01,0.01,1,0,1,N/A,0,0,0,0,0
Composition (%wt),,,,,,,,,,,,,,,,
MEA,0,24,0,2,3,7,7,0,0,0,0,25,25,100,0,24
H2O,8,57,14,50,50,49,49,0,100,100,0,54,54,0,100,57
CO2,11,0,1,0,0,1,1,99,0,0,0,0,0,0,0,0
HCO3-,0,0,0,1,2,3,3,0,0,0,0,1,0,0,0,0
MEACOO-,0,7,0,18,19,17,17,0,0,0,0,8,8,0,0,7
N2,0,12,0,29,27,23,23,0,0,0,0,12,13,0,0,12
O2,75,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0